collection,split,file_stem,model_family,n_configs,node_count,edge_count,edge_per_node
tile:xla,train,bert_classifier.2x2.fp32.performance_-4bcbdec664edd31c,bert,585,66,76,1.1515151515151516
tile:xla,train,bert_classifier.2x2.fp32.performance_-5e45f791e9d570c8,bert,89,47,50,1.0638297872340425
tile:xla,train,bert_classifier.2x2.fp32.performance_-5ebf300504795e8c,bert,87,73,78,1.0684931506849316
tile:xla,train,bert_classifier.2x2.fp32.performance_-607367ee8dc8a7a0,bert,296,66,71,1.0757575757575757
tile:xla,train,bert_classifier.2x2.fp32.performance_-612cddb51ee251e4,bert,296,71,81,1.1408450704225352
tile:xla,train,bert_classifier.2x2.fp32.performance_-73f3e7390f5a7cbf,bert,333,16,15,0.9375
tile:xla,train,bert_classifier.2x2.fp32.performance_-774bae806f4a9b48,bert,84,10,9,0.9
tile:xla,train,bert_classifier.2x2.fp32.performance_-7b394afcfc944261,bert,296,56,65,1.1607142857142858
tile:xla,train,bert_classifier.2x2.fp32.performance_-7ef7115643d4f736,bert,296,58,59,1.0172413793103448
tile:xla,train,bert_classifier.2x2.fp32.performance_-a7325193e8afa94,bert,296,40,40,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_1538bc7f51b9854d,bert,333,13,12,0.9230769230769231
tile:xla,train,bert_classifier.2x2.fp32.performance_1a9036b83a9c0eb8,bert,87,52,61,1.1730769230769231
tile:xla,train,bert_classifier.2x2.fp32.performance_2a8b85cb9dea494c,bert,582,96,107,1.1145833333333333
tile:xla,train,bert_classifier.2x2.fp32.performance_2d45a5123f3263fc,bert,21,42,42,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_327d723c2bcc476,bert,80,40,39,0.975
tile:xla,train,bert_classifier.2x2.fp32.performance_3efc74054470c5e3,bert,23,19,19,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_3f1922c288e4758,bert,296,58,59,1.0172413793103448
tile:xla,train,bert_classifier.2x2.fp32.performance_40c8270b78bbc561,bert,598,82,86,1.048780487804878
tile:xla,train,bert_classifier.2x2.fp32.performance_43e1f7960b47b323,bert,131,8,7,0.875
tile:xla,train,bert_classifier.2x2.fp32.performance_447509e3293e630e,bert,117,9,8,0.8888888888888888
tile:xla,train,bert_classifier.2x2.fp32.performance_476eb41532607237,bert,22,47,47,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_50b9a605e87d53fc,bert,21,39,39,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_5328c79c4e1741cd,bert,144,8,7,0.875
tile:xla,train,bert_classifier.2x2.fp32.performance_600757ad9138807e,bert,296,41,42,1.024390243902439
tile:xla,train,bert_classifier.2x2.fp32.performance_6b91a3ff42eab412,bert,52,2,1,0.5
tile:xla,train,bert_classifier.2x2.fp32.performance_6b9ad164ef9e5bea,bert,80,45,46,1.0222222222222221
tile:xla,train,bert_classifier.2x2.fp32.performance_6d97e0ee5d62cbeb,bert,600,36,36,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_6ed40f8b9d970c45,bert,56,47,50,1.0638297872340425
tile:xla,train,bert_classifier.2x2.fp32.performance_718b69329ad158c6,bert,19,19,18,0.9473684210526315
tile:xla,train,bert_classifier.2x2.fp32.performance_736410ae70a4ddca,bert,122,22,21,0.9545454545454546
tile:xla,train,bert_classifier.2x2.fp32.performance_7421f45ba45fb97a,bert,333,29,28,0.9655172413793104
tile:xla,train,bert_classifier.2x2.fp32.performance_760a320be53b4a2e,bert,296,58,60,1.0344827586206897
tile:xla,train,bert_classifier.2x2.fp32.performance_7875cf8fbcc92a55,bert,86,76,86,1.131578947368421
tile:xla,train,bert_classifier.2x2.fp32.performance_7898b2290f2c4f5d,bert,90,23,23,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_7de55402e4fa27a0,bert,606,40,41,1.025
tile:xla,train,bert_classifier.2x2.fp32.performance_90bdb3d787a3950,bert,333,37,37,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_a6a08f362c38143,bert,15,13,12,0.9230769230769231
tile:xla,train,bert_classifier.2x2.fp32.performance_fd6326a68de3541,bert,296,54,54,1.0
tile:xla,train,bert_classifier.2x2.fp32_-15a12a2bd39acdd8,bert,120,52,61,1.1730769230769231
tile:xla,train,bert_classifier.2x2.fp32_-1a09f14acc312545,bert,482,58,59,1.0172413793103448
tile:xla,train,bert_classifier.2x2.fp32_-1b1162f5d0f98f9f,bert,27,47,47,1.0
tile:xla,train,bert_classifier.2x2.fp32_-1b7191d016505fe8,bert,31,17,16,0.9411764705882353
tile:xla,train,bert_classifier.2x2.fp32_-2003ef45325578d1,bert,56,16,15,0.9375
tile:xla,train,bert_classifier.2x2.fp32_-210841420f810223,bert,108,7,6,0.8571428571428571
tile:xla,train,bert_classifier.2x2.fp32_-21a2808fd06fabc8,bert,101,40,39,0.975
tile:xla,train,bert_classifier.2x2.fp32_-24d39b56a3fcfbe5,bert,482,29,28,0.9655172413793104
tile:xla,train,bert_classifier.2x2.fp32_-278e438e02dae07,bert,429,57,57,1.0
tile:xla,train,bert_classifier.2x2.fp32_-2c1ecbe22a51994,bert,115,47,48,1.0212765957446808
tile:xla,train,bert_classifier.2x2.fp32_-2f0457eb413469fb,bert,103,41,46,1.1219512195121952
tile:xla,train,bert_classifier.2x2.fp32_-2f1be6682f888a24,bert,199,8,7,0.875
tile:xla,train,bert_classifier.2x2.fp32_-316b11bd51131fde,bert,115,37,39,1.054054054054054
tile:xla,train,bert_classifier.2x2.fp32_-357ea03f833bb4c2,bert,56,51,62,1.2156862745098038
tile:xla,train,bert_classifier.2x2.fp32_-35ce20d94e580747,bert,115,22,21,0.9545454545454546
tile:xla,train,bert_classifier.2x2.fp32_-3aced60091aae328,bert,85,26,26,1.0
tile:xla,train,bert_classifier.2x2.fp32_-41834e5a07223298,bert,167,9,8,0.8888888888888888
tile:xla,train,bert_classifier.2x2.fp32_-437ada5027630ff6,bert,24,42,42,1.0
tile:xla,train,bert_classifier.2x2.fp32_-480ec82fa67a63a1,bert,429,54,54,1.0
tile:xla,train,bert_classifier.2x2.fp32_-4a9a774254b26de7,bert,45,41,46,1.1219512195121952
tile:xla,train,bert_classifier.2x2.fp32_-5174d2a51059b686,bert,50,19,19,1.0
tile:xla,train,bert_classifier.2x2.fp32_-54f5c53afe029928,bert,119,73,78,1.0684931506849316
tile:xla,train,bert_classifier.2x2.fp32_-58657058c38ae928,bert,186,7,6,0.8571428571428571
tile:xla,train,bert_classifier.2x2.fp32_-5c69aa27ca907c6f,bert,35,19,19,1.0
tile:xla,train,bert_classifier.2x2.fp32_-670362dabbd6b6cc,bert,23,19,18,0.9473684210526315
tile:xla,train,bert_classifier.2x2.fp32_-6738546de99a2a4a,bert,104,27,27,1.0
tile:xla,train,bert_classifier.2x2.fp32_-71fb35346c0fe8a4,bert,186,8,7,0.875
tile:xla,train,bert_classifier.2x2.fp32_-7273ed4dcda618bf,bert,142,13,12,0.9230769230769231
tile:xla,train,bert_classifier.2x2.fp32_-74346ec35b63eb41,bert,851,67,78,1.164179104477612
tile:xla,train,bert_classifier.2x2.fp32_-743598ee343461fc,bert,50,35,38,1.0857142857142856
tile:xla,train,bert_classifier.2x2.fp32_-746643c4523dc702,bert,45,19,19,1.0
tile:xla,train,bert_classifier.2x2.fp32_-76fc68e4d0cd9435,bert,115,17,16,0.9411764705882353
tile:xla,train,bert_classifier.2x2.fp32_-773787e4f6c45866,bert,868,36,36,1.0
tile:xla,train,bert_classifier.2x2.fp32_-788522c26d3c48c0,bert,167,8,7,0.875
tile:xla,train,bert_classifier.2x2.fp32_-7bb5bb4cdf45de51,bert,45,22,22,1.0
tile:xla,train,bert_classifier.2x2.fp32_-9d561a9a799f1b,bert,424,56,65,1.1607142857142858
tile:xla,train,bert_classifier.2x2.fp32_-9e5b572a62814f4,bert,422,71,81,1.1408450704225352
tile:xla,train,bert_classifier.2x2.fp32_-dfb52e5d93c22b4,bert,56,29,31,1.0689655172413792
tile:xla,train,bert_classifier.2x2.fp32_-edae22288a3d383,bert,24,39,39,1.0
tile:xla,train,bert_classifier.2x2.fp32_11f0b475c384f26c,bert,429,40,40,1.0
tile:xla,train,bert_classifier.2x2.fp32_157d4cc57160dd36,bert,115,10,9,0.9
tile:xla,train,bert_classifier.2x2.fp32_1771c9fb027cb16e,bert,482,19,18,0.9473684210526315
tile:xla,train,bert_classifier.2x2.fp32_1a429946c81733ff,bert,45,16,15,0.9375
tile:xla,train,bert_classifier.2x2.fp32_251e2094677b541b,bert,482,26,26,1.0
tile:xla,train,bert_classifier.2x2.fp32_30b89bad17f9ddc9,bert,56,13,12,0.9230769230769231
tile:xla,train,bert_classifier.2x2.fp32_32c8b064c2e614d9,bert,860,52,55,1.0576923076923077
tile:xla,train,bert_classifier.2x2.fp32_37e5ea3ef96d968d,bert,199,7,6,0.8571428571428571
tile:xla,train,bert_classifier.2x2.fp32_3907a04771098c70,bert,429,66,71,1.0757575757575757
tile:xla,train,bert_classifier.2x2.fp32_3cd86be7b09b21c2,bert,115,23,23,1.0
tile:xla,train,bert_classifier.2x2.fp32_3f10cf2debab64ba,bert,85,7,6,0.8571428571428571
tile:xla,train,bert_classifier.2x2.fp32_3fe1c1fc9e7a7f7,bert,482,58,59,1.0172413793103448
tile:xla,train,bert_classifier.2x2.fp32_443007ddf7955c2e,bert,482,37,37,1.0
tile:xla,train,bert_classifier.2x2.fp32_450d9345eba0a11f,bert,482,27,27,1.0
tile:xla,train,bert_classifier.2x2.fp32_4c5b451dd51d2ae1,bert,482,41,42,1.024390243902439
tile:xla,train,bert_classifier.2x2.fp32_5442ee1ae7c13f5a,bert,428,63,73,1.1587301587301588
tile:xla,train,bert_classifier.2x2.fp32_5701a8b5761d3538,bert,167,8,7,0.875
tile:xla,train,bert_classifier.2x2.fp32_589eb915fff67791,bert,167,9,8,0.8888888888888888
tile:xla,train,bert_classifier.2x2.fp32_58dcfdf8b14b4c7e,bert,482,13,12,0.9230769230769231
tile:xla,train,bert_classifier.2x2.fp32_5a13d9ed7be5522e,bert,482,58,60,1.0344827586206897
tile:xla,train,bert_classifier.2x2.fp32_5cbe9f7e650ef48e,bert,142,22,21,0.9545454545454546
tile:xla,train,bert_classifier.2x2.fp32_63f7015999d4517e,bert,866,40,41,1.025
tile:xla,train,bert_classifier.2x2.fp32_69cd6e34a7cf5bd9,bert,482,37,37,1.0
tile:xla,train,bert_classifier.2x2.fp32_6a8226b2e6d9233c,bert,31,14,13,0.9285714285714286
tile:xla,train,bert_classifier.2x2.fp32_6b92af7fcfaf6b13,bert,482,26,26,1.0
tile:xla,train,bert_classifier.2x2.fp32_6c1d5b9c44bffe59,bert,92,45,46,1.0222222222222221
tile:xla,train,bert_classifier.2x2.fp32_76b8cd655923a4e6,bert,482,41,42,1.024390243902439
tile:xla,train,bert_classifier.2x2.fp32_79286208a2980c34,bert,31,14,13,0.9285714285714286
tile:xla,train,bert_classifier.2x2.fp32_9b0992e5e0ed23d,bert,482,16,15,0.9375
tile:xla,train,bert_pretraining.2x2.fp16_-18321ad156c55c0b,bert,847,21,21,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-1972c148bcabec74,bert,384,7,6,0.8571428571428571
tile:xla,train,bert_pretraining.2x2.fp16_-1a91e1daf560d9c7,bert,135,78,87,1.1153846153846154
tile:xla,train,bert_pretraining.2x2.fp16_-1c6db741e059e66c,bert,38,13,12,0.9230769230769231
tile:xla,train,bert_pretraining.2x2.fp16_-2687e894772f7802,bert,1306,52,62,1.1923076923076923
tile:xla,train,bert_pretraining.2x2.fp16_-2b26f81544af7264,bert,97,19,25,1.3157894736842106
tile:xla,train,bert_pretraining.2x2.fp16_-2b79ab85842ee518,bert,166,9,8,0.8888888888888888
tile:xla,train,bert_pretraining.2x2.fp16_-2d2ef95cc2437817,bert,142,27,27,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-2e2865a7de47f9fd,bert,847,21,21,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-2e34c328e74763ba,bert,205,23,23,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-3057736d78cc595d,bert,131,83,92,1.108433734939759
tile:xla,train,bert_pretraining.2x2.fp16_-30ecc4ab8d2d8038,bert,203,61,65,1.0655737704918034
tile:xla,train,bert_pretraining.2x2.fp16_-34a5979f3fc5e04d,bert,840,19,18,0.9473684210526315
tile:xla,train,bert_pretraining.2x2.fp16_-360b1bc951c33786,bert,44,38,38,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-3928b8ef6ecbecfb,bert,202,32,31,0.96875
tile:xla,train,bert_pretraining.2x2.fp16_-4dd341a0a2b70619,bert,552,71,80,1.1267605633802817
tile:xla,train,bert_pretraining.2x2.fp16_-4fe2235cfed02769,bert,845,12,11,0.9166666666666666
tile:xla,train,bert_pretraining.2x2.fp16_-51f5a40ac06e51cc,bert,388,9,8,0.8888888888888888
tile:xla,train,bert_pretraining.2x2.fp16_-52ecb13f91bbfee5,bert,30,20,19,0.95
tile:xla,train,bert_pretraining.2x2.fp16_-530c85921dc07d4,bert,840,16,15,0.9375
tile:xla,train,bert_pretraining.2x2.fp16_-5ad130fdb2eb43b3,bert,243,19,18,0.9473684210526315
tile:xla,train,bert_pretraining.2x2.fp16_-5c183441068c1be0,bert,206,35,35,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-5e45f791e9d570c8,bert,90,47,50,1.0638297872340425
tile:xla,train,bert_pretraining.2x2.fp16_-5e681d1d184200f4,bert,1327,38,38,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-5e7543f765839356,bert,164,70,74,1.0571428571428572
tile:xla,train,bert_pretraining.2x2.fp16_-67d64e42f8a6e510,bert,206,21,21,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-70b28a989cae5d16,bert,292,43,43,1.0
tile:xla,train,bert_pretraining.2x2.fp16_-760506af4da30059,bert,54,14,13,0.9285714285714286
tile:xla,train,bert_pretraining.2x2.fp16_-77c635139195baa3,bert,204,57,58,1.0175438596491229
tile:xla,train,bert_pretraining.2x2.fp16_-7965883313d1a195,bert,136,2,1,0.5
tile:xla,train,bert_pretraining.2x2.fp16_-84a4e8815a59f49,bert,12,17,16,0.9411764705882353
tile:xla,train,bert_pretraining.2x2.fp16_12ab6b03dbb07de7,bert,1333,39,42,1.0769230769230769
tile:xla,train,bert_pretraining.2x2.fp16_183d41d29e91b036,bert,35,46,54,1.173913043478261
tile:xla,train,bert_pretraining.2x2.fp16_249a7ea9296bcaac,bert,1031,52,55,1.0576923076923077
tile:xla,train,bert_pretraining.2x2.fp16_2c0d1aab8a3d822,bert,58,40,43,1.075
tile:xla,train,bert_pretraining.2x2.fp16_2e734f166c2b5710,bert,845,12,11,0.9166666666666666
tile:xla,train,bert_pretraining.2x2.fp16_339088db6f19cf75,bert,44,41,41,1.0
tile:xla,train,bert_pretraining.2x2.fp16_3ce76848de23b5f,bert,181,9,8,0.8888888888888888
tile:xla,train,bert_pretraining.2x2.fp16_3d8d72ac9e041965,bert,54,38,41,1.0789473684210527
tile:xla,train,bert_pretraining.2x2.fp16_445ebafb90750ee3,bert,203,57,58,1.0175438596491229
tile:xla,train,bert_pretraining.2x2.fp16_4ca360dd65278ba5,bert,203,54,56,1.037037037037037
tile:xla,train,bert_pretraining.2x2.fp16_4e7652f75ff95c52,bert,154,37,38,1.027027027027027
tile:xla,train,bert_pretraining.2x2.fp16_5258f1fb1315f778,bert,839,30,30,1.0
tile:xla,train,bert_pretraining.2x2.fp16_56f420e7acc1c4,bert,234,12,11,0.9166666666666666
tile:xla,train,bert_pretraining.2x2.fp16_5f28f8abc4b48a62,bert,207,68,80,1.1764705882352942
tile:xla,train,bert_pretraining.2x2.fp16_69e37cd55c7885d6,bert,165,61,63,1.0327868852459017
tile:xla,train,bert_pretraining.2x2.fp16_6c9ce9ced927fa83,bert,234,20,20,1.0
tile:xla,train,bert_pretraining.2x2.fp16_6ed40f8b9d970c45,bert,70,47,50,1.0638297872340425
tile:xla,train,bert_pretraining.2x2.fp16_704aac9e932a033c,bert,1324,43,44,1.0232558139534884
tile:xla,train,bert_pretraining.2x2.fp16_70fbda9d27f8a296,bert,544,62,71,1.1451612903225807
tile:xla,train,bert_pretraining.2x2.fp16_7486e8ce089e8f8c,bert,206,19,18,0.9473684210526315
tile:xla,train,bert_pretraining.2x2.fp16_7ea64e206b836d1f,bert,56,10,9,0.9
tile:xla,train,bert_pretraining.2x2.fp16_7fa383735f84a0bb,bert,47,38,38,1.0
tile:xla,train,bert_pretraining.2x2.fp16_a35ebdeb43b3809,bert,840,21,20,0.9523809523809523
tile:xla,train,bert_pretraining.2x2.fp16_e0e5819b290ddf3,bert,818,35,35,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-18321ad156c55c0b,bert,847,21,21,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-1972c148bcabec74,bert,384,7,6,0.8571428571428571
tile:xla,train,bert_pretraining.8x16.fp16_-1a91e1daf560d9c7,bert,135,78,87,1.1153846153846154
tile:xla,train,bert_pretraining.8x16.fp16_-1c6db741e059e66c,bert,38,13,12,0.9230769230769231
tile:xla,train,bert_pretraining.8x16.fp16_-2687e894772f7802,bert,1306,52,62,1.1923076923076923
tile:xla,train,bert_pretraining.8x16.fp16_-2b26f81544af7264,bert,97,19,25,1.3157894736842106
tile:xla,train,bert_pretraining.8x16.fp16_-2b79ab85842ee518,bert,166,9,8,0.8888888888888888
tile:xla,train,bert_pretraining.8x16.fp16_-2d2ef95cc2437817,bert,142,27,27,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-2e2865a7de47f9fd,bert,847,21,21,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-2e34c328e74763ba,bert,165,23,23,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-3057736d78cc595d,bert,131,83,92,1.108433734939759
tile:xla,train,bert_pretraining.8x16.fp16_-30ecc4ab8d2d8038,bert,203,61,65,1.0655737704918034
tile:xla,train,bert_pretraining.8x16.fp16_-34a5979f3fc5e04d,bert,840,19,18,0.9473684210526315
tile:xla,train,bert_pretraining.8x16.fp16_-360b1bc951c33786,bert,36,38,38,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-3928b8ef6ecbecfb,bert,202,32,31,0.96875
tile:xla,train,bert_pretraining.8x16.fp16_-4dd341a0a2b70619,bert,552,71,80,1.1267605633802817
tile:xla,train,bert_pretraining.8x16.fp16_-4fe2235cfed02769,bert,845,12,11,0.9166666666666666
tile:xla,train,bert_pretraining.8x16.fp16_-51f5a40ac06e51cc,bert,388,9,8,0.8888888888888888
tile:xla,train,bert_pretraining.8x16.fp16_-52ecb13f91bbfee5,bert,30,20,19,0.95
tile:xla,train,bert_pretraining.8x16.fp16_-530c85921dc07d4,bert,840,16,15,0.9375
tile:xla,train,bert_pretraining.8x16.fp16_-5ad130fdb2eb43b3,bert,243,19,18,0.9473684210526315
tile:xla,train,bert_pretraining.8x16.fp16_-5c183441068c1be0,bert,206,35,35,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-5e681d1d184200f4,bert,1327,38,38,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-5e7543f765839356,bert,163,70,74,1.0571428571428572
tile:xla,train,bert_pretraining.8x16.fp16_-67d64e42f8a6e510,bert,206,21,21,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-70b28a989cae5d16,bert,292,43,43,1.0
tile:xla,train,bert_pretraining.8x16.fp16_-760506af4da30059,bert,54,14,13,0.9285714285714286
tile:xla,train,bert_pretraining.8x16.fp16_-77c635139195baa3,bert,204,57,58,1.0175438596491229
tile:xla,train,bert_pretraining.8x16.fp16_-7965883313d1a195,bert,136,2,1,0.5
tile:xla,train,bert_pretraining.8x16.fp16_-84a4e8815a59f49,bert,9,17,16,0.9411764705882353
tile:xla,train,bert_pretraining.8x16.fp16_12715b8846fb1038,bert,62,47,50,1.0638297872340425
tile:xla,train,bert_pretraining.8x16.fp16_12ab6b03dbb07de7,bert,1333,39,42,1.0769230769230769
tile:xla,train,bert_pretraining.8x16.fp16_183d41d29e91b036,bert,35,46,54,1.173913043478261
tile:xla,train,bert_pretraining.8x16.fp16_249a7ea9296bcaac,bert,1031,52,55,1.0576923076923077
tile:xla,train,bert_pretraining.8x16.fp16_2c0d1aab8a3d822,bert,58,40,43,1.075
tile:xla,train,bert_pretraining.8x16.fp16_2e734f166c2b5710,bert,845,12,11,0.9166666666666666
tile:xla,train,bert_pretraining.8x16.fp16_339088db6f19cf75,bert,36,41,41,1.0
tile:xla,train,bert_pretraining.8x16.fp16_3ce76848de23b5f,bert,181,9,8,0.8888888888888888
tile:xla,train,bert_pretraining.8x16.fp16_3d8d72ac9e041965,bert,54,38,41,1.0789473684210527
tile:xla,train,bert_pretraining.8x16.fp16_445ebafb90750ee3,bert,203,57,58,1.0175438596491229
tile:xla,train,bert_pretraining.8x16.fp16_4ca360dd65278ba5,bert,164,54,56,1.037037037037037
tile:xla,train,bert_pretraining.8x16.fp16_4e7652f75ff95c52,bert,154,37,38,1.027027027027027
tile:xla,train,bert_pretraining.8x16.fp16_5258f1fb1315f778,bert,839,30,30,1.0
tile:xla,train,bert_pretraining.8x16.fp16_56f420e7acc1c4,bert,234,12,11,0.9166666666666666
tile:xla,train,bert_pretraining.8x16.fp16_5f28f8abc4b48a62,bert,207,68,80,1.1764705882352942
tile:xla,train,bert_pretraining.8x16.fp16_69e37cd55c7885d6,bert,165,61,63,1.0327868852459017
tile:xla,train,bert_pretraining.8x16.fp16_6c9ce9ced927fa83,bert,234,20,20,1.0
tile:xla,train,bert_pretraining.8x16.fp16_6d4dca078e4f052b,bert,4,13,12,0.9230769230769231
tile:xla,train,bert_pretraining.8x16.fp16_704aac9e932a033c,bert,1324,43,44,1.0232558139534884
tile:xla,train,bert_pretraining.8x16.fp16_70fbda9d27f8a296,bert,545,62,71,1.1451612903225807
tile:xla,train,bert_pretraining.8x16.fp16_7486e8ce089e8f8c,bert,206,19,18,0.9473684210526315
tile:xla,train,bert_pretraining.8x16.fp16_7ea64e206b836d1f,bert,49,10,9,0.9
tile:xla,train,bert_pretraining.8x16.fp16_7fa383735f84a0bb,bert,47,38,38,1.0
tile:xla,train,bert_pretraining.8x16.fp16_a35ebdeb43b3809,bert,840,21,20,0.9523809523809523
tile:xla,train,bert_pretraining.8x16.fp16_e0e5819b290ddf3,bert,818,35,35,1.0
tile:xla,train,bert_pretraining.8x8.fp32.performance_-180a628e07daaee7,bert,52,39,42,1.0769230769230769
tile:xla,train,bert_pretraining.8x8.fp32.performance_-1972c148bcabec74,bert,384,7,6,0.8571428571428571
tile:xla,train,bert_pretraining.8x8.fp32.performance_-1aea503fcc0481da,bert,953,40,40,1.0
tile:xla,train,bert_pretraining.8x8.fp32.performance_-1fafb2b99650913,bert,326,2,1,0.5
tile:xla,train,bert_pretraining.8x8.fp32.performance_-20bdcb9bb2cbeff4,bert,978,12,11,0.9166666666666666
tile:xla,train,bert_pretraining.8x8.fp32.performance_-2ab091fb8d7f07d7,bert,875,58,60,1.0344827586206897
tile:xla,train,bert_pretraining.8x8.fp32.performance_-2e8b089361cd4076,bert,942,58,59,1.0172413793103448
tile:xla,train,bert_pretraining.8x8.fp32.performance_-36822230c65a08b8,bert,30,47,50,1.0638297872340425
tile:xla,train,bert_pretraining.8x8.fp32.performance_-378efeaaf75defe6,bert,38,44,53,1.2045454545454546
tile:xla,train,bert_pretraining.8x8.fp32.performance_-37e944c81489413c,bert,26,19,18,0.9473684210526315
tile:xla,train,bert_pretraining.8x8.fp32.performance_-43ee0987c5036b88,bert,63,7,6,0.8571428571428571
tile:xla,train,bert_pretraining.8x8.fp32.performance_-495b2cdae0d889a7,bert,85,42,42,1.0
tile:xla,train,bert_pretraining.8x8.fp32.performance_-517d99c3242c074c,bert,170,10,9,0.9
